Номер,Вопрос,Ответ
54,"Что такое ""Модель вычислений""? В чём назначение моделей вычислений? Приведите примеры.","Определение. Модель вычислений - средство формального описания вычислительного процесса. Используется для формальных верификаций, теортеического доказательства алгоритмов, в дизайне языков программирования, модель-ориентированная инженерия"
55,Что такое последовательные модели вычислений?,"Определение. Приведите примеры. Как в них представляется вычислительный процесс? Последовательные модели вычислений - такие модели вычислсений, в которых инструкции, события, дейсвтия идут строго последовательно, одна за одной. Очень яркий пример - конечные автоматы. Задаем состояния, и условия перехода состояний между ними"
56,Что такое машина Тьюринга и почему она важна для теории вычислений?,"Определение. Машина Тьюринга - бесконечная лента, на которой есть машина. Все, что может делать машина - это ездить по ленте вперед/ назад, читать и записывать данные. не может быть реализована на практике из-за того, что бесконечных лент не найти :( обладает полнотой по Тьюрингу (можно реализовать любой известный алгоритм) проблема остановки (нет возможности понять для любого алгоритма, остановится ли он когда-нибудь) Данные и управление отделены Ориентировка на реализацию"
57,Что такое Random Access Machine? Каково её устройство и место сегодня? Какова её связь с машиной Тьюринга?,"Определение. Random Access Machine - машина, у которой есть бесконечное множество регистров из которых можно читать и писать. В остальном это эквивалент машины Тьюринга. Применяется где-то в компиляторах llvm"
58,Что такое функциональные модели вычислений?,"Определение. Приведите примеры. Как в них представляется вычислительный процесс? Функциональные модели вычислений - представление вычислительного процесса как совокупности символов и правил их преобразований. Не задают жестко последовательность вычислений Примеры - арифметика, лямбда исчисление, Рефал Ляибда исчисление: 4 вида выражений: переменные константы комбинация абстракция 3 вида преобразований: переименование переменных переименование функции сокращение аргумента Вычислительный процесс задается декларативно по сути"
59,Что такое параллельные модели вычислений? Приведите примеры. Как в них представляется вычислительный процесс?,"Определение. Параллельные модели вычислений - системы, включающие несколько одновременных взаимодействующих процессов Примеры: Actor model - отправка сообщений из разных потоков в ""почтовые ящики"" и кто-то их будет разгребать Discrete Event - смотрим что куда защелкивается по клоку, можем описать систему как последовательность состояний в разные моменты времени Multi-Thread Model - несколько потоков с общей памятью, это то, что у нас сейчас во многих ЯПах есть"
60,Что такое Model-Driven Engineering (MDE)? Чем цепочка трансформации в MDE отличается от языков высокого уровня? Приведите примеры.,"Определение. Model-Driven Engineering - когда мы реализуем не на мощном языке программирования со сложным вычислительным процессом, а строим некоторую модель, которая уже затем транслируется в нужное нам представление. В этом случае в центр процесса разработки закладываются модели. Пример xtUML (Executable UML) чтобы описать поведение вычислительной системы не в терминах обычных программ, а в терминах конечных автоматов и систем, которые взаимодействуют между собой пересылкой сообщений. Можно скомпилировать/ преобразовать в целевой язык программирования."
61,Что такое универсальный процессор? Каковы его особенности и свойства?,"Структура ответа: дать классификацию и коротко пояснить пункты. Двухэтапное производство - когда мы разрабатываем некоторый универсальный вычислитель, а потом программируем его. Разделяем физическое производство и наделение его функциональностью. Информационный процессор - абстракция, которая позволяет обозначить устройство, которое может преобразовывать информацию. Включает в себя: 1. Ввод 2."
62,"В чём заключается противоречие между универсальностью и эффективностью в разных видах процессоров (СБИС, FPGA, CGRA, GPU, DSP, CPU)?","Ответ. кратко должна быть суть в том, что когда мы делаем универсально - мы жертвуем эффективностью и наоборот - эффективное решение зачастую очень неуниверсально и пишется буквально по месту, максимально ""одноразово"" и под задачу, но просто сверхэффективно"
63,Как соотносятся вычислительные платформы и языки описания вычислительного процесса? Как это связано с эффективностью и областью применения?,"Ответ. Вопрос заточен под эту картинку. Сверху перечислены языки описания вычислительного процесса (по сути описания алгоритмов?), каждому из которых соотносится вычислительная платформа. Вторая часть вопроса про конфликт гибкости (=то, насколько широкая область применения у инструмента) и эффективности."
64,Что такое архитектура и микроархитектура процессора? В чём различие между ними?,"Сравнение. Архитектура процессора - то, как видит компьютер программист. Практически всегда это система команд. включает в себя еще и регистры и память (как место нахождение операндов) и вычислительные механизмы (кешей, прерывания) Альтернитива и по сути антонимичное понятие: Микроархитектура процессора - соединение простейших цифровых элементов в логические блоки, предназначенные для выполнения команд определенной архитектуры. По сути для заданной архитектуры есть практически бесконечное количество возможных микроархитектур"
65,Что такое система команд и какова её роль в архитектуре процессоров? Что определяет система команд?,"Определение. Система команд по сути ""словарный запас"" программиста. Формальное определение: Система команд - абстрактная модель процессора, формирующая интерфейс взаимодействия между программным обеспечением и процессором. Формальный язык, описывающий правила вычислений и то, как они должны выполняться."
66,Что такое машина фон Неймана? Какова её связь с машиной Тьюринга? Каковы её ключевые принципы?,"Структура ответа: дать классификацию и коротко пояснить пункты. Развивает машину Тьюринга Только заменили ленту на Random-access Memory Инструкции и данные объеденины (в машине Тьюринга алгоритм хранится ""как-то"" внутри машины) Максимальная простота в реализации и производстве ООП реализует похожий принцип - у нас есть состояние, к которому прикручен фиксированный набор инструкций который меняет это состояние Принцип, на котором стоит эта машина - хранит инструкции в памяти, и есть дисциплина исполнения: читаем инструкцию, делаем ее, переходим к следующей. линейность выполнения (с поправкой на переходы)."
67,Что такое микропроцессор и микроконтроллер? В чём их отличия?,"Определение. [Микро]процессор - мы фокусируемся на самом процессе вычислений, обработке информации и ее хранении [Микро]контроллер - это расширение процессора периферией - таймеры, память, порты ввода вывода, счетчики"
68,Что такое Control Unit и Data Path? Каковы их назначение и принципы взаимодействия?,"Структура ответа: дать классификацию и коротко пояснить пункты. По сути процессор можно разделить на две части: Control Unit и Data Path. Похожи, но их противопоставление имеет практический и логический смысл. Control Unit - синхронизирует работу всех узлов, по сути заставляет инструменты Data Path работать во времени и последовательности выполнения так, как ожидается. Инициатор всех действий Data Path - физически находятся и обрабатываются данные. Включает в себя: регистры, АЛУ, шины."
69,Какие виды инструкций существуют в машине фон Неймана? Приведите примеры. Каковы принципы кодирования?,"Структура ответа: дать классификацию и коротко пояснить пункты. Работа с памятью Арифметические, логические битовые Управляющие операции (переходы всякие, вызов и возврат из подропграмм) Инструкции для сопроцессоров Можно кодировать, например, так: -- 70 и 71 вопросы теперь объеденины в один ""Сравните принстонскую и гарвардскую архитектуры: особенности, достоинства, недостатки и области применения."" --"
70,Каковы особенности принстонской архитектуры? Каковы её достоинства и недостатки? Какова область применения?,"Структура ответа: дать классификацию и коротко пояснить пункты. Пристонская архитектура = фон-неймановская архитектура Главный недостаток - один канал памяти, узкое горлышко. Принцип, на котором стоит эта машина - хранит инструкции в памяти, и есть дисциплина исполнения: читаем инструкцию, делаем ее, переходим к следующей. линейность выполнения (с поправкой на переходы). Также есть машинное слово - то, что можем адресовать в памяти, то что единица пересылки информации из памяти, то, что хорошо ложится в регистры и так далее."
71,Каковы особенности гарвардской архитектуры? Каковы её достоинства и недостатки? Какова область применения?,"Структура ответа: дать классификацию и коротко пояснить пункты. 4 пункт достоинств это про безопасность, что программа сама себя не поменяет например. 2 пункт недостатков это про то, что компилятор - тоже программа, но как ей тогда запускать другую программу на этом же процессоре, если она не имеет доступа к памяти инструкций? Грустно (8 лекция 11:12 рассказал хорошо и коротко) И нельзя сказать, что два канала к памяти = два банка памяти, потому что это разные понятия."
72,Как организовано адресное пространство в гарвардской и принстонской архитектурах?,"Ответ. В гарвардской у нас два канала доступа к памяти. Ответить что дает это разделение (это приемущества гарвардской архитектуры по сути). Еще у нас может быть разная разрядность памяти команд и данных. А в принстонской - один контроллер памяти, один канал доступа, инструкции и данные хранятся в месте."
73,"Какие существуют варианты обхода ограничений гарвардской архитектуры, включая ""Модифицированную гарвардскую архитектуру""?","Структура ответа: дать классификацию и коротко пояснить пункты. По сути первые два пункта убивают безопасность, и отчасти убивают приемущество в производительности, ведь используюя один тип памяти сразу всесто двух порождает проблему одного канала. Последний пункт самый часто используемый сейчас и в целом"
74,"Что такое ""аккумуляторная система команд""? Каковы основные элементы? Приведите примеры. Каковы достоинства и недостатки?","Структура ответа: дать классификацию и коротко пояснить пункты. Это по сути система команд процессора, у которого есть некоторое накопленное состояние, которое можно читать и записывать в память и делать с ним нужные операции. С точки зрения систеы команд так, что почти все инустркции унарные с неявным вторым аргументом - аккумулятором. Простая и компактная. Но достаточно неудобна как раз из-за ее простоты - постоянно надо доставать что-то из памяти в аккумулятор, что-то с ним делать и класть обратно, в общем много нудных повторяющихся операций."
75,Что такое Register-to-Memory системы команд? Каковы основные элементы? Приведите примеры. Каковы их достоинства и недостатки?,"Структура ответа: дать классификацию и коротко пояснить пункты. Пример это моторолла 68000, у нас называется m68k. По сути у нас есть тот же аккумулятор, но их несколько, там 8, 16, 32 и так далее. И над ними можем выполнять операции (соответственно с этими регистрами). Здесь у нас больше свободы, упрощается код, меньше обращений к памяти ну и так далее"
76,Что такое Register-to-Register системы команд? Каковы основные элементы? Приведите примеры. Каковы их достоинства и недостатки?,"Структура ответа: дать классификацию и коротко пояснить пункты. Классический RISC вариант (?). отличие от прошлой в том, что там аргументом операции могло служить что-то из памяти. Но как только мы говорим, что здесь можно подгрузить что-то из памяти, сразу возникает куча способов как это сделать, начиная от прямой и косвенной адресации заканчивая косвенными и всякими такими ужасами. И простая арифметическая инструкция превращается в монстра-универсала и это все очень сильно усложняет."
77,Что такое Memory-to-Memory системы команд? Каковы основные элементы? Приведите примеры. Каковы их достоинства и недостатки?,"Структура ответа: дать классификацию и коротко пояснить пункты. Можно сказать что самая развитая архитектура/система команд с точки зрения удобства программирования. Мы опускаем эти приколы под названием регистры и непосредственно оперируем операциями над памятью. Это круто тем, что ассемблер непосредственно делаем то, что мы хотим без костылей с регистрами. Простой, компактный читаемый код. Недостаток непосредственно в том, что для каждой инструкции аж три цикла обращения к памяти, которая обычно медленная, время доступа которой может отличаться на порядки в зависимости от например кэширования."
78,"Что такое CISC процессоры? Каковы их ключевые особенности, достоинства и недостатки?","Структура ответа: дать классификацию и коротко пояснить пункты. Complex Instruction Stet Computer - архитектура процессора, в которой одной инструкцией можно описать довольно сложное действие. Последний пункт проблем это про то, что когда у нас появляется разнообразие архитектур (а в CISC оно появляется очень быстро), то писать компиляторы становится сложно - нам надо учитывать все особенности / возможности к оптимизации и паттерны каждой процессорной архитектуры, чтобы в том чиле сохранять эффективность."
79,Какие виды адресации аргументов инструкции в CISC процессорах?,"Структура ответа: дать классификацию и коротко пояснить пункты. Их может быть вообще великое множество чисто из философии CISC-like процессоров. Например, из того, что реализовано во wrench (архитектура m68k): Прямая регистровая - значение из регистра Непосредственная (Immediate) - значение напрямую Косвенная - берем значение по адресу, который задан значением в регистре Косвенная с пост-икрементом/пре-декрементом - когда после инструкции адрес будет смещен Косвенная со смещением - как косвенная, но с добавлением некоторой константы Косвенная с нидексом и смещением - как прошлая, но еще плюс добавить значение..."
80,В каких случаях CISC инструкции эффективны? Приведите примеры.,"Ответ. CISC инструкции эффективны за счет того, что они достаточно узкоспециализированы (тот самый конфликт гибкости и эффективности), каждая из них делает очень конкретную задачу, но с очень узкой областью применения. Чтобы это нивелировать их очень много разных, чтобы покрыть все сценарии использования."
81,В чём выражается комплексность систем команд CISC?,"Ответ. Комплексность (она же сложность) инструкций заключается в том, что они выполняют много простых операций оборачивая их в одну атомарную. сложность переносится из нашего кода в Control Unit и в железо процессора. И за счет этого можно повысить эффективность (меньшее количесвто тактов для такого же алгоритма по сравнению с другими архитектурами)"
82,Какие существуют подходы к реализации Control Unit?,"Структура ответа: дать классификацию и коротко пояснить пункты. Достоинства и недостатки Hardwired и микропрограммного управления? Два базовых подхода к созданию Control Unit: Hardwired: Мы просто создаем большую комбинационную схему, которая работает от несокльких регистров и тактов собственно. На основе этого CU генерирует необходимые сигналы, управляя Data Path Microcoded Суть в том, что внутри CU у нас будет еще один ""процессор"", выполняющий простейшие микрокоманды, у него будет свой микрокомандный counter. И свое хранилище микрокоманд, распознающее наши инструкции и реализовывающее все, что нам надо."
83,Что такое микропрограммное управление? Что такое микроинструкция? В чём отличия инструкций и микроинструкций?,"Определение. Микропрограммное управление - один из способов реализации Control Unit в процессоре, когда каждая инструкция разбивается на микроинструкции, генерирующие необходимую последовательность управляющих сигналов на Data Path. Инструкции - кирпичики, выполняя прикладные задачи. Микроинструкции - опеспечивают выполнение инструкций."
84,Как можно оптимизировать инструкции при помощи микропрограммирования? Приведите пример.,"Ответ. Можно в теории исправлять ошибки в реализации, закрывать уязвимости уже после производства. Можно создавать очень сложные инструкции даже на простой архитектуре, которые комбинационной схемой в лоб было бы куда сложнее реализовать. Привносит понятности в Control Unit."
85,Какие существуют подходы к поиску первой микроинструкции для заданной инструкции?,"Структура ответа: дать классификацию и коротко пояснить пункты. По сути первый пункт это то, как сделано в БЭВМ."
86,"Что такое архитектура NISC? Каковы область её применения, достоинства и недостатки?","Структура ответа: дать классификацию и коротко пояснить пункты. NISC - No Instrustion Set Computer Появилась как доведение до абсурда микрокомандного подхода. а что если отказаться от системы команд и просто генерировать эффективный микрокод? И наш алгоритм становится одной большой макроинструкцией. Очень эффективно, но теряем гибкость, универсальность. ISA - Instruction Set Architecture."
87,Что такое стековые системы команд? Каковы основные элементы? Что такое неявная адресация аргументов?,"Структура ответа: дать классификацию и коротко пояснить пункты. Каковы их достоинства и недостатки? Это система команд/архитектура, которая отстоит от других ввиду того, что она работает не с регистрами или памятью, а реально со стеком. У операций нет аргументов, потому что предполагается что некоторое их количество лежит на стеке (это и есть их неявняя адресация ). Ну и конечно из памяти мы можем загрузить в стек и выгрузить. Такие процессоры называют ""процессорами высокого уровня"" за счет того, что очень нативно и удобно реализовывается поддержка процедур."
88,Какие виды стеков есть в стековых процессорах? Их количества?,"Структура ответа: дать классификацию и коротко пояснить пункты. У нас может быть один и несколько стеков, что позволяет решить некоторые вопросы парарллелелизма (если например у нас есть два стека, то переключаясь между ними мы нативно реализовываем поддержку thread'ов ), или как в f32a удобнее реализовать поддержку процедур."
89,Каковы основные принципы описания алгоритмов для стековых процессоров? Что такое Forth и High-level language computer?,"Структура ответа: дать классификацию и коротко пояснить пункты. Forth - императивный (описаывающий как что надо делать) язык программирования на основе стека. Очень хорошо компилируется под стековые архитектуры и крайне эффективен для них. Еще и процедуры поддерживает и с рекурсией и все это без жутких соглашений и сложностей на уровне процессора (все очень нативно) Высокоуровненвым процессором (High-level language computer) - как раз называют процессоры на основе стека, потому что здесь кратно проще работать с функциями (нам не нужны никакие соглашения о том, какие регистры могут быть изменены в ходе работы функции..."
90,Каковы источники роста производительности процессоров?,"Структура ответа: дать классификацию и коротко пояснить пункты. (и алгоритмов, эффективности решения задач) Рост частоты процессора - чаще тактовые импульсы -> чаще выполняем инструкции -> быстрее работаем. В два раза больше частота - в два раза больше скорость (с поправкой на скорость работы памяти) Специализация аппаратуры - аппаратные вычислители, например аппаратное умножение будет куда быстрее чем если мы будем через сложение и сдвиги реализовывать умножение Специализация системы команд - это история про CISC, где каоманды эффективнее за счет специализации Параллелелизм уровня бит, инструкций,..."
91,Какие законы и ограничения влияют на производительность современных процессоров?,"Ответ. см вопросы 92-95, просто кратко описать законы"
92,Что представляют собой закон Мура и закон Деннарда?,"Ответ. Закон Мура - количество транзисторов в процессорах будет в два раза больше за 1.5 года, а производительность процессора будет увеличена в два раза (эмпирический закон - наблюдение, правда перестал работать уже в 2010 году) Закон Деннарда - размер транзистора может уменьшаться, что увеличивает производительность (меньше накладных расходов на передачу сигналов в цифровых схемах), уменьшается энергопотребление, что значит что можно поставить частоту побольше. По факту не очень работает, то есть работает но до некоторого предела."
93,Что представляет собой закон Амдала? На каком уровне параллелизма он работает?,"Ответ. Закон Амдала - если мы решаем задачу прарллелелизма, увеличивая его уровень в два раза, нам по сути надо площадь процессора увеличить в два раза (построить еще такой же вычислитель, которые будет вычислять вместе с первым), что ооочень накладно, а еще с каждым шагом увеличения параллелелизма время, которое вы выигрываем будет меньше (было время выполнения 100 секунд. После первого шага удвоения будет ~50 секунд, выигрыш 50 секунд. После второго шага удвоения будет 25 секунд, выигрыш уже всего 25 секунд)."
94,Что такое Power Wall и тёмный кремний?,"Определение. Power Wall : увеличивая частоту мы квадратично увеличиваем потребление, а значит и тепловыделение, значит есть предел повышения частоты после которого мы уже не сможем эффективно и в нужном объеме отводить тепло от чипа Темный кремний : суть в том, что если мы в некотором процессоре будем повышать плотность транзисторов, то в какой-то момент мы не сможем больше отводить от него тепло, его будет выделяться слишком много."
95,Какие подходы существуют к решению проблемы Memory Wall в рамках процессоров семейства фон Неймана?,"Ответ. Memory wall - фундаментальное ограничение, связанное со скоростью памяти - ее скорость растет значительно медленнее, чем скорость процессоров. И скоро (да и уже сейчас) процессоры будут упираться в скорость памяти, мы просто не сможем обеспечить достаточный поток данных для адекватного функционирования вычислительного процесса. Решать сложно, частично решается с помощью кэшей, количества каналов доступа к памяти (в Гарвардской архитектуре, например из два что несколько решает проблему)"
96,Что такое RISC? Каковы особенности и предпосылки появления (ПО и аппаратура)?,"Структура ответа: дать классификацию и коротко пояснить пункты. Другой подход к процессоростроению и пострению системы команд - отрицаем подход CISC и максимально дробим инструкции на инструкции попроще, получая простые кирпичики и их кладем в основу системы команд. Получается, что у нас теперь не куча сложных инструкций, а небольшое количество максимально простых и базовых инструкций. Это позволяет упростить сам процессор, сократить накладные расходы, увеличить вычислительную плотность. У нас не будет лишней схемотехники, которая используется очень редко."
97,Как сравниваются CISC и RISC с точки зрения архитектуры?,"Ответ. В CISC, по сравнению с RISC: очень мощные, комлпексные программы есть операции memory-to-memory и всякие такие истории, тогда как в RISC строго Load/store меньше регистров видимо за счет общей сложности других частей процессора Плавающая длина инструкций, у RISC единый формат и размер инструкций"
98,Как сравниваются CISC и RISC с точки зрения микро- архитектуры?,"Ответ. В RISC, по сравнению с CISC: Гораздо проще декодеры за счет простоты инструкций Гораздо проще Control Unit, есть место для его оптимизации (например, для реализации его как комбинационной схемы вместо микрокомандной архитектуры) Поддерживается конвейеризация"
99,Каковы особенности кодирования инструкций при сравнении CISC и RISC?,"Структура ответа: дать классификацию и коротко пояснить пункты. В CISC разная длина инструкций, тогда как в RISC фиксированная. Формат инструкций в RISC более строгий и единый, не так много режимов адресации к примеру. В CISC формат может плавать, может быть огромное количество разных фич, зашитых уже сразу в инструкции (как в m68k адресация с индексами и некоторым смещением)"
100,Каковы принципы конвейерного исполнения инструкций?,"Структура ответа: дать классификацию и коротко пояснить пункты. Как это влияет на загрузку и производительность? На картинке классическая схема конвейера. Принцип работы: Выполнение каждой инструкции можно разбить на несоклько этапов, которые задействуют непересекающиеся части процессора и выполняются за один такт Обеспечиваем выполнение этапов независимо друг от друга Как результат мы одновременно можем выполнять независимые друг от друга этапы разных функций. Т.е. пока декодируется первыя инструкция, мы уже загружаем следующую инструкцию."
101,Каковы типовые стадии RISC процессора?,Ответ нужно восстановить по соседним вопросам: в исходном конспекте для этого билета нет самостоятельного развёрнутого ответа.
102,Какие проблемы и архитектурные ограничения связаны с конвейеризацией?,"Ответ. Инструкции должны быть независимыми друг от друга. Это достаточно сложно, оптому что часто они используют например общие ресурсы процессора. Из этого вытекают: Структурные конфликты (например оба этапа хотят обратиться к памяти, конфликт). По сути это проблема разбиения на этапов, потому что они получаются не независимыми друг от друга (например, чтение инструкции и чтение операндов используют память с одним каналом) Конфликт по данным, одна инструкция еще не успела посчитать, а другой уже нужен результат Конфликт по управлению, условные переходы..."
103,Как разрешаются структурные конфликты в конвейере?,"Ответ. На уровне архитектуры: Двухпортовая память (несколько каналов доступа к памяти, можно брать свободный) Гарвардская архитектура (чтение инструкции и чтение операнда теперь не конфликтуют) На уровне выполнения: Разрешение конфликта пузырьком. Это холостая ""инструкция"", коотрая проходит по этапам, заставляя их простаивать. Это похоже на nop но НЕ nop, потому что nop тоже надо читать и декодировать. Пузырек не надо, он ничего не использует из ресурсов, они просто простаивают обрабаывая его."
